Condition,Participant,SP_median,INV_median,REAL_median
1,1,6.0,6.0,6.0
2,2,6.0,6.0,5.0
1,3,6.0,5.0,4.0
1,4,5.5,6.0,3.5
0,5,5.0,5.5,2.0
2,6,5.0,2.0,2.0
2,7,5.0,2.0,2.0
1,8,1.5,2.0,0.0
0,9,3.0,5.0,4.0
2,10,2.25,5.0,1.0
1,11,6.0,5.5,4.0
2,12,5.0,2.75,2.0
1,13,2.0,5.5,1.0
2,14,5.0,6.0,4.0
1,15,5.0,6.0,3.5
1,16,5.0,5.0,2.5
2,17,6.0,2.0,2.0
0,18,5.5,5.0,2.0
2,19,6.0,5.0,3.5
0,20,3.5,2.0,1.0
0,21,3.5,2.25,0.0
0,22,6.0,6.0,4.0
1,23,5.0,5.5,4.0
0,24,4.25,2.0,1.0
2,25,5.0,5.5,0.0
0,26,5.0,4.5,2.5
0,27,5.0,1.0,0.0
2,28,6.0,5.0,3.5
1,29,4.25,2.0,1.0
2,30,5.0,5.0,4.0
1,31,5.0,5.0,4.0
2,32,2.0,0.0,1.0
1,33,3.5,4.25,3.5
0,34,3.75,3.5,0.0
0,35,2.75,5.0,1.0
0,36,5.0,4.5,2.0
2,37,5.5,4.5,3.5
1,38,6.0,3.75,1.0
0,39,3.75,1.0,2.5
0,40,5.0,3.5,0.0
2,41,3.5,2.0,2.0
1,42,6.0,5.5,4.0
