Participant,Condition,Before Anger,After Anger,Before Disgust,After Disgust,Before Fear,After Fear,Before Anxiety,After Anxiety,Before Sadness,After Sadness,Before Desire,After Desire,Before Relaxation,After Relaxation,Before Happiness,After Happiness
1,1,16,0,14,0,16,0,16,0,16,0,16,0,3,16,5,12
2,2,12,0,2,0,6,0,15,0,12,0,9,3,2,16,2,16
3,1,0,1,5,4,2,0,6,3,3,1,8,9,12,12,11,11
4,1,0,0,0,2,0,0,7,1,1,0,2,2,7,11,6,7
5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,7
6,2,4,0,9,0,2,0,6,0,5,0,8,1,8,12,9,11
7,2,0,1,0,7,3,4,4,5,5,4,5,3,6,4,3,4
8,1,2,5,2,0,0,1,0,4,4,4,0,4,9,4,3,2
9,0,7,4,9,8,7,6,8,6,13,11,8,9,3,8,2,6
10,2,1,0,0,4,2,2,6,6,5,5,9,8,8,8,8,7
11,1,2,0,1,1,0,0,3,3,1,1,4,5,12,12,11,10
12,2,0,0,1,7,0,0,2,4,1,0,3,1,11,5,11,6
13,1,1,0,0,1,0,0,1,0,0,1,3,3,12,12,14,13
14,2,0,0,1,4,0,0,1,0,0,0,1,0,11,12,14,13
15,1,0,0,0,2,2,2,4,2,1,1,4,6,8,13,7,11
16,1,2,4,0,0,0,0,1,2,1,0,0,0,3,0,3,6
17,2,3,0,0,7,2,1,6,3,0,0,5,1,2,3,5,6
18,0,3,0,1,3,0,2,0,3,0,1,1,0,6,5,6,3
19,2,2,0,1,4,5,0,8,4,0,0,4,4,5,11,10,13
20,0,0,0,0,10,0,2,1,3,0,4,1,0,16,7,11,8
21,0,1,0,0,0,0,0,1,0,3,0,6,0,11,11,6,8
22,0,0,0,0,1,0,0,1,5,0,0,1,1,10,11,7,9
23,1,3,0,0,7,1,0,6,0,3,0,6,8,9,11,12,11
24,0,0,0,0,0,0,0,1,1,1,1,0,0,4,7,2,5
25,2,1,7,2,7,0,1,5,2,2,4,5,5,11,3,6,8
26,0,0,0,2,1,0,0,2,0,0,0,0,6,13,12,6,10
27,0,2,0,1,4,0,2,4,3,1,2,4,5,10,8,7,5
28,2,0,0,2,5,0,0,2,0,0,0,3,3,13,13,11,12
29,1,0,0,1,3,0,0,3,1,0,0,0,4,10,6,10,7
30,2,6,4,3,6,0,2,4,1,6,2,5,5,2,10,4,6
31,1,0,0,0,5,0,0,1,1,0,0,3,0,13,9,12,10
32,2,0,0,0,0,0,0,0,0,1,0,1,0,8,10,4,5
33,1,2,0,0,3,0,0,3,0,1,2,3,8,5,6,3,6
34,0,0,0,0,6,1,5,4,6,3,2,5,0,11,0,7,0
35,0,0,0,0,14,0,0,2,5,0,1,5,0,7,1,7,1
36,0,0,0,0,0,0,0,5,3,0,0,5,4,2,6,4,8
37,2,0,0,1,2,0,0,3,0,1,0,4,8,4,14,2,13
38,1,0,0,1,4,10,0,7,1,9,3,13,3,1,5,0,3
39,0,0,0,1,1,0,0,0,0,0,1,0,0,12,8,7,6
40,0,0,0,0,0,0,0,0,0,0,0,2,2,11,10,8,8
41,2,1,1,0,2,0,2,2,9,1,2,2,3,7,0,6,0
42,1,0,0,0,1,0,0,0,0,0,0,5,4,14,15,9,12
